Gene	GeneName	LengthPI	TotalVariants	UniqueProteinVariants	UniqueCodingExons
10077	TSPAN32 tetraspanin 32	320	17	16	20
10078	TSSC4 tumor suppressing subtransferable candidate 4	265	7	2	3
10079	ATP9A ATPase phospholipid transporting 9A (putative)	1047	2	2	29
10081	PDCD7 programmed cell death 7	485	1	1	5
10082	GPC6 glypican 6	555	7	4	11
10083	USH1C USH1 protein network component harmonin	899	9	9	32
10084	PQBP1 polyglutamine binding protein 1	265	13	5	12
10085	EDIL3 EGF like repeats and discoidin domains 3	480	2	2	11
10086	HHLA1 HERV-H LTR-associating 1	531	1	1	16
116369	SLC26A8 solute carrier family 26 member 8	970	5	3	20
10089	KCNK7 potassium two pore domain channel subfamily K member 7	307	4	3	6
10090	UST uronyl 2-sulfotransferase	406	3	3	12
7143	TNR tenascin R	1358	4	2	22
10092	ARPC5 actin related protein 2/3 complex subunit 5	154	2	2	5
10093	ARPC4 actin related protein 2/3 complex subunit 4	187	4	3	7
10094	ARPC3 actin related protein 2/3 complex subunit 3	178	2	2	8
10095	ARPC1B actin related protein 2/3 complex subunit 1B	372	3	1	9
10096	ACTR3 ARP3 actin related protein 3 homolog	418	2	2	12
10097	ACTR2 ARP2 actin related protein 2 homolog	399	2	2	10
403314	APOBEC4 apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	367	1	1	1
10099	TSPAN3 tetraspanin 3	253	4	4	10
10100	TSPAN2 tetraspanin 2	221	4	4	9
10101	NUBP2 nucleotide binding protein 2	271	8	6	11
10102	TSFM Ts translation elongation factor, mitochondrial	346	4	4	8
10103	TSPAN1 tetraspanin 1	241	2	2	8
10105	PPIF peptidylprolyl isomerase F	207	2	2	8
10106	CTDSP2 CTD small phosphatase 2	271	2	2	10
10107	TRIM10 tripartite motif containing 10	395	6	4	14
10109	ARPC2 actin related protein 2/3 complex subunit 2	300	6	3	11
10110	SGK2 SGK2, serine/threonine kinase 2	427	3	2	13
10111	RAD50 RAD50 double strand break repair protein	1312	1	1	25
10112	KIF20A kinesin family member 20A	890	1	1	18
10113	PREB prolactin regulatory element binding	417	4	4	11
10114	HIPK3 homeodomain interacting protein kinase 3	1215	7	2	17
10116	FEM1B fem-1 homolog B	627	2	2	2
10117	ENAM enamelin	1142	2	1	10
10120	ACTR1B ARP1 actin related protein 1 homolog B	376	3	3	12
10121	ACTR1A ARP1 actin related protein 1 homolog A	376	1	1	11
219654	ZCCHC24 zinc finger CCHC-type containing 24	241	2	2	6
403339	DEFB133 defensin beta 133	61	2	2	4
10124	ARL4A ADP ribosylation factor like GTPase 4A	200	4	1	2
10125	RASGRP1 RAS guanyl releasing protein 1	797	6	6	19
10126	DNAL4 dynein axonemal light chain 4	105	1	1	3
10127	ZNF263 zinc finger protein 263	683	7	7	10
10128	LRPPRC leucine rich pentatricopeptide repeat containing	1394	5	5	44
83608	C18orf21 chromosome 18 open reading frame 21	220	5	4	8
10130	PDIA6 protein disulfide isomerase family A member 6	492	6	6	18
10131	TRAP1 TNF receptor associated protein 1	704	4	4	19
23534	TNPO3 transportin 3	923	3	3	22
10134	BCAP31 B cell receptor associated protein 31	313	4	2	8
10135	NAMPT nicotinamide phosphoribosyltransferase	491	2	1	13
10136	CELA3A chymotrypsin like elastase family member 3A	270	1	1	8
10137	RBM12 RNA binding motif protein 12	932	4	1	1
10138	YAF2 YY1 associated factor 2	204	11	11	15
10139	ARFRP1 ADP ribosylation factor related protein 1	201	11	5	11
10140	TOB1 transducer of ERBB2, 1	345	3	2	2
165530	CLEC4F C-type lectin domain family 4 member F	589	12	10	15
10142	AKAP9 A-kinase anchoring protein 9	3907	21	20	57
10143	CLEC3A C-type lectin domain family 3 member A	206	2	2	4
10144	FAM13A family with sequence similarity 13 member A	1023	25	20	31
10146	G3BP1 G3BP stress granule assembly factor 1	466	6	1	13
10147	SUGP2 SURP and G-patch domain containing 2	1096	6	2	10
10148	EBI3 Epstein-Barr virus induced 3	229	2	1	7
10149	ADGRG2 adhesion G protein-coupled receptor G2	1017	12	9	28
10150	MBNL2 muscleblind like splicing regulator 2	367	13	8	10
10152	ABI2 abl interactor 2	513	49	48	26
10153	CEBPZ CCAAT/enhancer binding protein zeta	1054	1	1	16
10154	PLXNC1 plexin C1	1568	6	6	37
10155	TRIM28 tripartite motif containing 28	835	1	1	17
10156	RASA4 RAS p21 protein activator 4	803	5	5	24
10157	AASS aminoadipate-semialdehyde synthase	926	2	2	23
10158	PDZK1IP1 PDZK1 interacting protein 1	114	1	1	4
10159	ATP6AP2 ATPase H+ transporting accessory protein 2	350	1	1	9
10160	FARP1 FERM, ARH/RhoGEF and pleckstrin domain protein 1	1076	6	4	31
10161	LPAR6 lysophosphatidic acid receptor 6	344	3	1	2
10162	LPCAT3 lysophosphatidylcholine acyltransferase 3	487	1	1	12
10163	WASF2 WAS protein family member 2	498	2	2	8
10164	CHST4 carbohydrate sulfotransferase 4	386	2	1	1
10165	SLC25A13 solute carrier family 25 member 13	676	7	6	23
10166	SLC25A15 solute carrier family 25 member 15	301	1	1	6
10168	ZNF197 zinc finger protein 197	1029	4	2	8
10169	SERF2 small EDRK-rich factor 2	170	5	4	6
10170	DHRS9 dehydrogenase/reductase 9	379	5	2	5
10171	RCL1 RNA terminal phosphate cyclase like 1	373	7	4	12
10172	ZNF256 zinc finger protein 256	627	2	2	3
10174	SORBS3 sorbin and SH3 domain containing 3	671	8	4	22
10175	CNIH1 cornichon family AMPA receptor auxiliary protein 1	144	1	1	5
10178	TENM1 teneurin transmembrane protein 1	2732	15	8	36
10179	RBM7 RNA binding motif protein 7	267	5	3	6
10180	RBM6 RNA binding motif protein 6	1123	14	7	26
10181	RBM5 RNA binding motif protein 5	815	9	7	24
10184	LHFPL2 LHFPL tetraspan subfamily member 2	228	2	1	3
10186	LHFPL6 LHFPL tetraspan subfamily member 6	200	2	1	3
337867	UBAC2 UBA domain containing 2	344	7	6	13
10188	TNK2 tyrosine kinase non receptor 2	1086	14	13	24
10189	ALYREF Aly/REF export factor	264	1	1	6
10190	TXNDC9 thioredoxin domain containing 9	226	2	2	5
10193	RNF41 ring finger protein 41	317	7	2	7
10194	TSHZ1 teashirt zinc finger homeobox 1	1077	3	2	3
10195	ALG3 ALG3, alpha-1,3- mannosyltransferase	438	4	4	13
10196	PRMT3 protein arginine methyltransferase 3	531	5	5	17
10197	PSME3 proteasome activator subunit 3	267	4	4	14
399693	CCDC187 coiled-coil domain containing 187	965	5	5	18
337879	KRTAP8-1 keratin associated protein 8-1	63	1	1	1
10200	MPHOSPH6 M-phase phosphoprotein 6	160	3	2	5
10201	NME6 NME/NM23 nucleoside diphosphate kinase 6	194	17	12	13
10202	DHRS2 dehydrogenase/reductase 2	300	7	4	10
10203	CALCRL calcitonin receptor like receptor	461	6	2	13
10204	NUTF2 nuclear transport factor 2	127	5	1	4
10205	MPZL2 myelin protein zero like 2	215	2	1	6
10206	TRIM13 tripartite motif containing 13	410	4	2	2
10207	PATJ PATJ, crumbs cell polarity complex component	1801	17	16	53
10208	USPL1 ubiquitin specific peptidase like 1	1092	9	6	11
10209	EIF1 eukaryotic translation initiation factor 1	113	1	1	4
10210	TOPORS TOP1 binding arginine/serine rich protein	1045	2	2	3
10211	FLOT1 flotillin 1	427	6	5	15
10212	DDX39A DExD-box helicase 39A	427	4	2	11
10213	PSMD14 proteasome 26S subunit, non-ATPase 14	310	1	1	10
10214	SSX3 SSX family member 3	188	2	2	7
10215	OLIG2 oligodendrocyte transcription factor 2	323	2	1	1
10216	PRG4 proteoglycan 4	1404	7	5	15
10217	CTDSPL CTD small phosphatase like	276	4	4	12
10218	ANGPTL7 angiopoietin like 7	346	2	2	7
10219	KLRG1 killer cell lectin like receptor G1	189	5	2	8
10220	GDF11 growth differentiation factor 11	407	2	1	5
10221	TRIB1 tribbles pseudokinase 1	372	2	2	3
162427	RETREG3 reticulophagy regulator family member 3	466	2	2	10
10223	GPA33 glycoprotein A33	319	2	2	7
10224	ZNF443 zinc finger protein 443	671	3	3	7
10225	CD96 CD96 molecule	585	8	8	20
10226	PLIN3 perilipin 3	434	3	3	9
10227	MFSD10 major facilitator superfamily domain containing 10	455	3	2	14
10228	STX6 syntaxin 6	255	6	4	10
10229	COQ7 coenzyme Q7, hydroxylase	217	2	2	6
10231	RCAN2 regulator of calcineurin 2	243	4	2	6
10232	MSLN mesothelin	630	11	8	23
10233	LRRC23 leucine rich repeat containing 23	343	3	2	7
10234	LRRC17 leucine rich repeat containing 17	441	3	2	5
10235	RASGRP2 RAS guanyl releasing protein 2	609	16	9	20
10236	HNRNPR heterogeneous nuclear ribonucleoprotein R	636	17	12	13
10237	SLC35B1 solute carrier family 35 member B1	359	6	4	14
10238	DCAF7 DDB1 and CUL4 associated factor 7	342	1	1	7
10239	AP3S2 adaptor related protein complex 3 sigma 2 subunit	193	1	1	6
10240	MRPS31 mitochondrial ribosomal protein S31	395	1	1	7
138240	C9orf57 chromosome 9 open reading frame 57	161	2	2	7
10242	KCNMB2 potassium calcium-activated channel subfamily M regulatory beta subunit 2	235	4	1	4
10243	GPHN gephyrin	769	24	23	35
10244	RABEPK Rab9 effector protein with kelch motifs	372	15	11	14
10245	TIMM17B translocase of inner mitochondrial membrane 17B	222	2	2	7
10246	SLC17A2 solute carrier family 17 member 2	478	9	5	14
138241	C9orf85 chromosome 9 open reading frame 85	157	2	2	5
10248	POP7 POP7 homolog, ribonuclease P/MRP subunit	140	1	1	1
10249	GLYAT glycine-N-acyltransferase	296	3	3	6
10250	SRRM1 serine and arginine repetitive matrix 1	916	38	33	27
10251	SPRY3 sprouty RTK signaling antagonist 3	288	2	1	1
10252	SPRY1 sprouty RTK signaling antagonist 1	319	6	1	1
10253	SPRY2 sprouty RTK signaling antagonist 2	315	4	1	1
10254	STAM2 signal transducing adaptor molecule 2	525	1	1	14
10256	CNKSR1 connector enhancer of kinase suppressor of Ras 1	720	5	4	23
10257	ABCC4 ATP binding cassette subfamily C member 4	1325	9	8	37
10260	DENND4A DENN domain containing 4A	1907	13	8	34
10261	IGSF6 immunoglobulin superfamily member 6	241	1	1	6
10262	SF3B4 splicing factor 3b subunit 4	424	1	1	6
10263	CDK2AP2 cyclin dependent kinase 2 associated protein 2	126	2	2	4
23556	PIGN phosphatidylinositol glycan anchor biosynthesis class N	931	13	6	31
10266	RAMP2 receptor activity modifying protein 2	175	1	1	4
10267	RAMP1 receptor activity modifying protein 1	148	7	3	6
10268	RAMP3 receptor activity modifying protein 3	148	3	3	6
10269	ZMPSTE24 zinc metallopeptidase STE24	475	1	1	10
10270	AKAP8 A-kinase anchoring protein 8	692	2	2	15
10272	FSTL3 follistatin like 3	263	1	1	5
10273	STUB1 STIP1 homology and U-box containing protein 1	303	2	2	8
10274	STAG1 stromal antigen 1	1258	6	4	36
10276	NET1 neuroepithelial cell transforming 1	596	2	2	13
10277	UBE4B ubiquitination factor E4B	1302	8	8	33
10278	EFS embryonal Fyn-associated substrate	561	4	4	10
10279	PRSS16 serine protease 16	514	6	6	15
337960	KRTAP13-3 keratin associated protein 13-3	172	1	1	1
10282	BET1 Bet1 golgi vesicular membrane trafficking protein	83	2	2	6
337963	KRTAP23-1 keratin associated protein 23-1	65	1	1	1
10284	SAP18 Sin3A associated protein 18	172	2	2	6
10285	SMNDC1 survival motor neuron domain containing 1	238	2	2	6
337966	KRTAP6-1 keratin associated protein 6-1	71	1	1	1
337967	KRTAP6-2 keratin associated protein 6-2	62	1	1	1
337968	KRTAP6-3 keratin associated protein 6-3	110	1	1	1
337969	KRTAP19-2 keratin associated protein 19-2	52	1	1	1
10290	SPEG SPEG complex locus	3267	17	14	56
10291	SF3A1 splicing factor 3a subunit 1	793	1	1	16
337972	KRTAP19-5 keratin associated protein 19-5	72	1	1	1
10293	TRAIP TRAF interacting protein	469	3	3	17
10294	DNAJA2 DnaJ heat shock protein family (Hsp40) member A2	412	1	1	9
337975	KRTAP20-1 keratin associated protein 20-1	56	1	1	1
10296	MAEA macrophage erythroblast attacher	396	12	11	16
10297	APC2 APC2, WNT signaling pathway regulator	2303	6	5	18
337978	KRTAP21-2 keratin associated protein 21-2	83	1	1	1
10299	MARCH6 membrane associated ring-CH-type finger 6	910	8	8	32
10300	KATNB1 katanin regulatory subunit B1	655	11	4	21
10302	SNAPC5 small nuclear RNA activating complex polypeptide 5	98	1	1	3
132789	GNPDA2 glucosamine-6-phosphate deaminase 2	276	3	3	6
337985	KRTAP20-3 keratin associated protein 20-3	44	1	1	1
343	AQP8 aquaporin 8	261	3	3	9
10307	APBB3 amyloid beta precursor protein binding family B member 3	493	4	4	14
10308	ZNF267 zinc finger protein 267	743	4	4	5
10309	CCNO cyclin O	350	1	1	3
10311	VPS26C VPS26 endosomal protein sorting factor C	297	4	4	10
10312	TCIRG1 T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	830	6	4	21
10313	RTN3 reticulon 3	1032	11	11	15
10314	LANCL1 LanC like 1	399	4	2	11
149175	MANEAL mannosidase endo-alpha like	457	5	4	9
10316	NMUR1 neuromedin U receptor 1	426	6	6	9
10317	B3GALT5 beta-1,3-galactosyltransferase 5	314	20	2	2
10318	TNIP1 TNFAIP3 interacting protein 1	636	20	11	24
10319	LAMC3 laminin subunit gamma 3	1575	3	3	30
10320	IKZF1 IKAROS family zinc finger 1	519	42	29	20
10321	CRISP3 cysteine rich secretory protein 3	268	2	2	10
10322	SMYD5 SMYD family member 5	418	3	3	16
27333	GOLIM4 golgi integral membrane protein 4	696	5	5	18
10324	KLHL41 kelch like family member 41	606	1	1	6
10325	RRAGB Ras related GTP binding B	374	5	5	15
10326	SIRPB1 signal regulatory protein beta 1	398	17	12	27
10327	AKR1A1 aldo-keto reductase family 1 member A1	325	6	2	9
10328	EMC8 ER membrane protein complex subunit 8	210	4	4	9
10329	RXYLT1 ribitol xylosyltransferase 1	443	6	3	8
10330	CNPY2 canopy FGF signaling regulator 2	182	2	2	6
171023	ASXL1 additional sex combs like 1, transcriptional regulator	1541	12	9	21
10332	CLEC4M C-type lectin domain family 4 member M	376	14	14	19
10333	TLR6 toll like receptor 6	796	5	1	2
10335	MRVI1 murine retrovirus integration site 1 homolog	912	6	5	23
10336	PCGF3 polycomb group ring finger 3	242	2	1	8
171024	SYNPO2 synaptopodin 2	1261	5	5	8
128371	OR6K6 olfactory receptor family 6 subfamily K member 6	343	1	1	1
10342	TFG TRK-fused gene	400	12	2	9
10343	PKDREJ polycystin family receptor for egg jelly	2253	1	1	1
10344	CCL26 C-C motif chemokine ligand 26	94	3	2	5
10345	TRDN triadin	729	5	5	46
10346	TRIM22 tripartite motif containing 22	498	2	2	8
10347	ABCA7 ATP binding cassette subfamily A member 7	2146	15	11	55
10349	ABCA10 ATP binding cassette subfamily A member 10	1543	1	1	37
10350	ABCA9 ATP binding cassette subfamily A member 9	1624	6	4	42
10351	ABCA8 ATP binding cassette subfamily A member 8	1621	7	6	42
10352	WARS2 tryptophanyl tRNA synthetase 2, mitochondrial	360	10	9	13
10360	NPM3 nucleophosmin/nucleoplasmin 3	178	1	1	5
10361	NPM2 nucleophosmin/nucleoplasmin 2	214	11	6	12
10362	HMG20B high mobility group 20B	317	2	2	10
10363	HMG20A high mobility group 20A	347	4	2	9
10365	KLF2 Kruppel like factor 2	355	1	1	3
10367	MICU1 mitochondrial calcium uptake 1	478	6	6	17
10368	CACNG3 calcium voltage-gated channel auxiliary subunit gamma 3	315	1	1	4
10369	CACNG2 calcium voltage-gated channel auxiliary subunit gamma 2	323	2	2	6
10370	CITED2 Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	275	3	2	2
10371	SEMA3A semaphorin 3A	771	6	1	19
10376	TUBA1B tubulin alpha 1b	451	1	1	4
10379	IRF9 interferon regulatory factor 9	393	1	1	8
10380	BPNT1 3'(2'), 5'-bisphosphate nucleotidase 1	308	17	12	12
10381	TUBB3 tubulin beta 3 class III	450	2	2	4
10382	TUBB4A tubulin beta 4A class IVa	495	6	4	8
10383	TUBB4B tubulin beta 4B class IVb	445	1	1	4
10384	BTN3A3 butyrophilin subfamily 3 member A3	584	3	3	9
23576	DDAH1 dimethylarginine dimethylaminohydrolase 1	285	7	5	10
10388	SYCP2 synaptonemal complex protein 2	1530	13	9	47
10389	SCML2 Scm polycomb group protein like 2	700	6	3	16
10390	CEPT1 choline/ethanolamine phosphotransferase 1	416	4	2	10
10391	CORO2B coronin 2B	480	5	2	12
10392	NOD1 nucleotide binding oligomerization domain containing 1	953	15	8	16
10393	ANAPC10 anaphase promoting complex subunit 10	219	24	16	17
10394	PRG3 proteoglycan 3, pro eosinophil major basic protein 2	225	1	1	5
10395	DLC1 DLC1 Rho GTPase activating protein	1528	8	5	21
10396	ATP8A1 ATPase phospholipid transporting 8A1	1164	9	9	41
400410	ST20 suppressor of tumorigenicity 20	79	3	1	3
10398	MYL9 myosin light chain 9	172	2	2	3
10399	RACK1 receptor for activated C kinase 1	317	1	1	8
10400	PEMT phosphatidylethanolamine N-methyltransferase	232	7	6	11
10401	PIAS3 protein inhibitor of activated STAT 3	628	1	1	14
10402	ST3GAL6 ST3 beta-galactoside alpha-2,3-sialyltransferase 6	384	18	7	12
10403	NDC80 NDC80, kinetochore complex component	642	1	1	16
10404	CPQ carboxypeptidase Q	472	4	4	11
10406	WFDC2 WAP four-disulfide core domain 2	124	1	1	3
10407	SPAG11B sperm associated antigen 11B	108	7	7	8
10409	BASP1 brain abundant membrane attached signal protein 1	227	2	1	1
10410	IFITM3 interferon induced transmembrane protein 3	133	1	1	2
10411	RAPGEF3 Rap guanine nucleotide exchange factor 3	923	8	7	34
10412	NSA2 NSA2, ribosome biogenesis homolog	260	5	5	10
10413	YAP1 Yes associated protein 1	508	16	16	15
338094	FAM151A family with sequence similarity 151 member A	585	2	2	10
10417	SPON2 spondin 2	331	3	1	5
10418	SPON1 spondin 1	807	1	1	16
10419	PRMT5 protein arginine methyltransferase 5	637	7	6	20
10420	TESK2 testis-specific kinase 2	571	9	5	12
10421	CD2BP2 CD2 cytoplasmic tail binding protein 2	341	2	1	7
10422	UBAC1 UBA domain containing 1	405	1	1	10
10423	CDIPT CDP-diacylglycerol--inositol 3-phosphatidyltransferase	213	4	4	8
10424	PGRMC2 progesterone receptor membrane component 2	247	2	2	5
10425	ARIH2 ariadne RBR E3 ubiquitin protein ligase 2	493	23	8	17
10426	TUBGCP3 tubulin gamma complex associated protein 3	907	9	7	29
10427	SEC24B SEC24 homolog B, COPII coat complex component	1298	13	13	31
10428	CFDP1 craniofacial development protein 1	299	3	3	10
10430	TMEM147 transmembrane protein 147	224	3	3	7
10432	RBM14 RNA binding motif protein 14	669	3	3	4
10434	LYPLA1 lysophospholipase I	230	12	8	14
10435	CDC42EP2 CDC42 effector protein 2	210	2	1	2
10436	EMG1 EMG1, N1-specific pseudouridine methyltransferase	244	2	2	6
10437	IFI30 IFI30, lysosomal thiol reductase	250	1	1	7
10438	C1D C1D nuclear receptor corepressor	141	4	1	4
10439	OLFM1 olfactomedin 1	485	4	4	10
10440	TIMM17A translocase of inner mitochondrial membrane 17A	171	1	1	6
10443	N4BP2L2 NEDD4 binding protein 2 like 2	1181	35	14	19
10444	ZER1 zyg-11 related cell cycle regulator	766	10	3	16
10445	MCRS1 microspherule protein 1	475	7	4	19
10446	LRRN2 leucine rich repeat neuronal 2	713	5	1	2
10447	FAM3C family with sequence similarity 3 member C	227	4	1	9
10449	ACAA2 acetyl-CoA acyltransferase 2	397	1	1	10
10450	PPIE peptidylprolyl isomerase E	314	9	8	17
10451	VAV3 vav guanine nucleotide exchange factor 3	847	8	8	33
10452	TOMM40 translocase of outer mitochondrial membrane 40	361	4	2	12
22983	MAST1 microtubule associated serine/threonine kinase 1	1570	4	4	30
10454	TAB1 TGF-beta activated kinase 1 (MAP3K7) binding protein 1	504	2	2	12
10455	ECI2 enoyl-CoA delta isomerase 2	394	5	4	12
10456	HAX1 HCLS1 associated protein X-1	279	2	2	8
10457	GPNMB glycoprotein nmb	572	6	6	15
10458	BAIAP2 BAI1 associated protein 2	552	19	16	24
10459	MAD2L2 mitotic arrest deficient 2 like 2	211	3	1	8
10460	TACC3 transforming acidic coiled-coil containing protein 3	838	5	4	18
10461	MERTK MER proto-oncogene, tyrosine kinase	999	6	5	23
10462	CLEC10A C-type lectin domain containing 10A	316	6	5	12
10463	SLC30A9 solute carrier family 30 member 9	568	2	2	20
10464	PIBF1 progesterone immunomodulatory binding factor 1	757	11	10	20
10465	PPIH peptidylprolyl isomerase H	177	7	3	13
10466	COG5 component of oligomeric golgi complex 5	860	3	3	23
10467	ZNHIT1 zinc finger HIT-type containing 1	154	2	2	7
10468	FST follistatin	344	9	9	15
10469	TIMM44 translocase of inner mitochondrial membrane 44	452	1	1	13
10471	PFDN6 prefoldin subunit 6	129	4	1	6
10472	ZBTB18 zinc finger and BTB domain containing 18	531	5	2	3
10473	HMGN4 high mobility group nucleosomal binding domain 4	90	4	1	1
10474	TADA3 transcriptional adaptor 3	432	3	2	9
10475	TRIM38 tripartite motif containing 38	465	4	2	9
10476	ATP5PD ATP synthase peripheral stalk subunit d	161	2	2	5
10477	UBE2E3 ubiquitin conjugating enzyme E2 E3	207	8	4	9
10478	SLC25A17 solute carrier family 25 member 17	307	3	3	10
10479	SLC9A6 solute carrier family 9 member A6	701	8	4	19
10480	EIF3M eukaryotic translation initiation factor 3 subunit M	374	3	3	12
154664	ABCA13 ATP binding cassette subfamily A member 13	5058	22	22	85
10482	NXF1 nuclear RNA export factor 1	619	2	2	22
10483	SEC23B Sec23 homolog B, coat complex II component	767	6	2	22
10484	SEC23A Sec23 homolog A, coat complex II component	765	4	4	22
10485	C1orf61 chromosome 1 open reading frame 61	156	17	10	15
10486	CAP2 cyclase associated actin cytoskeleton regulatory protein 2	477	2	2	13
10487	CAP1 cyclase associated actin cytoskeleton regulatory protein 1	475	17	3	15
10488	CREB3 cAMP responsive element binding protein 3	371	1	1	9
10489	LRRC41 leucine rich repeat containing 41	812	2	2	12
10490	VTI1B vesicle transport through interaction with t-SNAREs 1B	232	1	1	6
10491	CRTAP cartilage associated protein	401	1	1	7
10492	SYNCRIP synaptotagmin binding cytoplasmic RNA interacting protein	562	15	11	20
23594	ORC6 origin recognition complex subunit 6	252	2	2	9
10494	STK25 serine/threonine kinase 25	426	17	8	16
10495	ENOX2 ecto-NOX disulfide-thiol exchanger 2	610	13	5	19
10497	UNC13B unc-13 homolog B	1591	9	9	47
10498	CARM1 coactivator associated arginine methyltransferase 1	608	3	3	18
10499	NCOA2 nuclear receptor coactivator 2	1464	19	6	24
10500	SEMA6C semaphorin 6C	962	12	4	20
10501	SEMA6B semaphorin 6B	888	4	3	18
100462977	MTRNR2L1 MT-RNR2 like 1	24	1	1	1
23596	OPN3 opsin 3	402	1	1	4
10507	SEMA4D semaphorin 4D	738	20	3	20
10509	SEMA4B semaphorin 4B	890	8	6	18
10512	SEMA3C semaphorin 3C	751	2	2	17
10513	APPBP2 amyloid beta precursor protein binding protein 2	585	4	4	14
10514	MYBBP1A MYB binding protein 1a	1332	3	3	29
10516	FBLN5 fibulin 5	448	6	6	14
10517	FBXW10 F-box and WD repeat domain containing 10	1052	4	3	17
10518	CIB2 calcium and integrin binding family member 2	187	7	6	10
10519	CIB1 calcium and integrin binding 1	231	3	3	10
10520	ZNF211 zinc finger protein 211	629	7	7	6
10521	DDX17 DEAD-box helicase 17	731	2	2	14
10522	DEAF1 DEAF1, transcription factor	565	3	3	15
10523	CHERP calcium homeostasis endoplasmic reticulum protein	916	1	1	17
10524	KAT5 lysine acetyltransferase 5	513	5	5	18
10525	HYOU1 hypoxia up-regulated 1	999	8	2	27
10526	IPO8 importin 8	1037	5	5	29
10527	IPO7 importin 7	1038	1	1	25
10528	NOP56 NOP56 ribonucleoprotein	594	1	1	12
10529	NEBL nebulette	1014	10	8	38
3998	LMAN1 lectin, mannose binding 1	510	1	1	13
10531	PITRM1 pitrilysin metallopeptidase 1	1038	8	8	30
10533	ATG7 autophagy related 7	703	29	16	30
10534	SSSCA1 Sjogren syndrome/scleroderma autoantigen 1	199	2	2	5
10535	RNASEH2A ribonuclease H2 subunit A	299	2	2	9
10536	P3H3 prolyl 3-hydroxylase 3	736	1	1	15
10537	UBD ubiquitin D	165	1	1	2
10538	BATF basic leucine zipper ATF-like transcription factor	125	1	1	3
29063	ZCCHC4 zinc finger CCHC-type containing 4	513	5	5	18
10540	DCTN2 dynactin subunit 2	406	4	4	17
10541	ANP32B acidic nuclear phosphoprotein 32 family member B	251	1	1	7
10542	LAMTOR5 late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	173	1	1	4
26538	OR10H2 olfactory receptor family 10 subfamily H member 2	315	1	1	1
10544	PROCR protein C receptor	238	2	2	6
10548	TM9SF1 transmembrane 9 superfamily member 1	606	3	3	7
10549	PRDX4 peroxiredoxin 4	271	4	4	11
10550	ARL6IP5 ADP ribosylation factor like GTPase 6 interacting protein 5	188	1	1	3
10551	AGR2 anterior gradient 2, protein disulphide isomerase family member	175	2	1	8
10552	ARPC1A actin related protein 2/3 complex subunit 1A	370	2	2	10
728116	ZBTB8B zinc finger and BTB domain containing 8B	495	1	1	3
10554	AGPAT1 1-acylglycerol-3-phosphate O-acyltransferase 1	283	5	2	8
10555	AGPAT2 1-acylglycerol-3-phosphate O-acyltransferase 2	278	2	2	6
10556	RPP30 ribonuclease P/MRP subunit p30	322	8	4	16
10557	RPP38 ribonuclease P/MRP subunit p38	283	10	1	1
10558	SPTLC1 serine palmitoyltransferase long chain base subunit 1	513	8	7	22
10559	SLC35A1 solute carrier family 35 member A1	337	2	2	8
10560	SLC19A2 solute carrier family 19 member 2	497	2	2	6
10561	IFI44 interferon induced protein 44	444	4	4	10
10562	OLFM4 olfactomedin 4	510	1	1	5
10563	CXCL13 C-X-C motif chemokine ligand 13	109	2	1	5
10564	ARFGEF2 ADP ribosylation factor guanine nucleotide exchange factor 2	1785	2	2	42
10565	ARFGEF1 ADP ribosylation factor guanine nucleotide exchange factor 1	1849	5	4	44
10566	AKAP3 A-kinase anchoring protein 3	853	6	2	4
10567	RABAC1 Rab acceptor 1	185	1	1	5
10568	SLC34A2 solute carrier family 34 member 2	690	3	2	13
10569	SLU7 SLU7 homolog, splicing factor	586	3	2	17
10570	DPYSL4 dihydropyrimidinase like 4	572	5	2	15
23607	CD2AP CD2 associated protein	639	4	4	23
10572	SIVA1 SIVA1 apoptosis inducing factor	175	3	3	6
10573	MRPL28 mitochondrial ribosomal protein L28	256	3	1	5
10574	CCT7 chaperonin containing TCP1 subunit 7	543	6	4	14
10575	CCT4 chaperonin containing TCP1 subunit 4	539	2	2	14
10576	CCT2 chaperonin containing TCP1 subunit 2	535	2	2	16
10577	NPC2 NPC intracellular cholesterol transporter 2	151	2	2	7
10578	GNLY granulysin	172	6	6	10
10579	TACC2 transforming acidic coiled-coil containing protein 2	2948	47	43	33
10580	SORBS1 sorbin and SH3 domain containing 1	1292	59	59	36
10581	IFITM2 interferon induced transmembrane protein 2	132	1	1	2
285753	CEP57L1 centrosomal protein 57 like 1	460	20	13	21
10584	COLEC10 collectin subfamily member 10	277	3	2	6
10585	POMT1 protein O-mannosyltransferase 1	747	18	13	22
10586	MAB21L2 mab-21 like 2	359	1	1	1
10587	TXNRD2 thioredoxin reductase 2	524	2	2	18
10588	MTHFS methenyltetrahydrofolate synthetase	203	2	2	3
10589	DRAP1 DR1 associated protein 1	205	1	1	7
10590	SCGN secretagogin, EF-hand calcium binding protein	276	2	2	11
10591	DNPH1 2'-deoxynucleoside 5'-phosphate N-hydrolase 1	174	2	2	5
10592	SMC2 structural maintenance of chromosomes 2	1197	18	4	30
10594	PRPF8 pre-mRNA processing factor 8	2335	1	1	42
